,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,run1,run2,run3,run4,Total Runtime,strcol
88423,64,64,16,8,8,16,8,8,4,4,0,1,1,1,153.86,151.81,153.77,152.63,612.07,cula
88430,64,64,16,8,8,16,8,8,4,4,1,1,1,0,195.58,195.31,196.12,195.46,782.47,xays
88436,64,64,16,8,8,16,8,8,4,8,0,1,0,0,280.95,280.27,279.78,280.24,1121.24,aowi
88444,64,64,16,8,8,16,8,8,4,8,1,1,0,0,277.62,276.9,276.92,276.59,1108.03,ewfa
88446,64,64,16,8,8,16,8,8,4,8,1,1,1,0,171.41,172.04,172.05,171.84,687.34,nanp
88447,64,64,16,8,8,16,8,8,4,8,1,1,1,1,118.38,118.44,118.67,118.73,474.22,pxea
88449,64,64,16,8,8,16,16,2,1,1,0,0,0,1,182.58,182.57,182.58,182.51,730.24,cvba
88460,64,64,16,8,8,16,16,2,1,1,1,1,0,0,277.52,276.01,275.77,276.08,1105.3799999999999,auvx
88462,64,64,16,8,8,16,16,2,1,1,1,1,1,0,193.12,193.64,192.09,193.22,772.07,qaog
88466,64,64,16,8,8,16,16,2,1,2,0,0,1,0,208.27,211.44,208.86,210.77,839.34,dana
88473,64,64,16,8,8,16,16,2,1,2,1,0,0,1,191.38,191.34,191.97,191.9,766.59,tvda
88482,64,64,16,8,8,16,16,2,1,4,0,0,1,0,200.74,198.93,199.45,199.65,798.77,arut
88484,64,64,16,8,8,16,16,2,1,4,0,1,0,0,263.85,261.98,261.56,262.08,1049.47,jyas
88487,64,64,16,8,8,16,16,2,1,4,0,1,1,1,192.48,198.35,199.42,196.41,786.66,chra
88503,64,64,16,8,8,16,16,2,2,1,0,1,1,1,176.33,176.09,176.16,176.97,705.5500000000001,ajkz
88508,64,64,16,8,8,16,16,2,2,1,1,1,0,0,327.67,328.31,327.81,329.15,1312.94,xcla
88512,64,64,16,8,8,16,16,2,2,2,0,0,0,0,303.73,300.22,300.78,300.88,1205.6100000000001,azsm
88528,64,64,16,8,8,16,16,2,2,4,0,0,0,0,331.51,332.52,333.61,332.79,1330.43,vald
88549,64,64,16,8,8,16,16,2,4,1,0,1,0,1,294.42,294.69,294.8,295.0,1178.91,ijap
88556,64,64,16,8,8,16,16,2,4,1,1,1,0,0,392.89,391.92,392.42,391.47,1568.7,acqw
88557,64,64,16,8,8,16,16,2,4,1,1,1,0,1,292.67,293.29,292.95,293.63,1172.54,baly
88562,64,64,16,8,8,16,16,2,4,2,0,0,1,0,307.37,307.06,306.72,307.33,1228.48,zkoa
88563,64,64,16,8,8,16,16,2,4,2,0,0,1,1,174.2,179.18,179.22,178.7,711.3,rant
88566,64,64,16,8,8,16,16,2,4,2,0,1,1,0,316.77,316.34,315.82,315.24,1264.1699999999998,xkah
88572,64,64,16,8,8,16,16,2,4,2,1,1,0,0,297.34,295.25,295.25,295.55,1183.3899999999999,iadu
88573,64,64,16,8,8,16,16,2,4,2,1,1,0,1,313.63,313.82,314.12,313.42,1254.99,xafp
88586,64,64,16,8,8,16,16,2,4,4,1,0,1,0,215.65,213.63,213.98,214.37,857.63,fhha
88590,64,64,16,8,8,16,16,2,4,4,1,1,1,0,220.51,221.0,220.89,220.06,882.46,tmha
88602,64,64,16,8,8,16,16,8,1,1,1,0,1,0,153.47,154.22,153.06,153.61,614.36,nafz
88613,64,64,16,8,8,16,16,8,1,2,0,1,0,1,171.78,171.27,171.65,171.09,685.7900000000001,pbai
88617,64,64,16,8,8,16,16,8,1,2,1,0,0,1,187.69,187.78,187.88,188.03,751.38,lcba
88626,64,64,16,8,8,16,16,8,1,4,0,0,1,0,173.59,173.81,173.4,174.0,694.8,pauo
88627,64,64,16,8,8,16,16,8,1,4,0,0,1,1,147.0,146.39,146.4,146.96,586.75,ewao
88646,64,64,16,8,8,16,16,8,2,1,0,1,1,0,178.09,178.3,178.15,178.23,712.77,kagp
88664,64,64,16,8,8,16,16,8,2,2,1,0,0,0,289.97,289.73,289.74,289.71,1159.15,hoab
88666,64,64,16,8,8,16,16,8,2,2,1,0,1,0,189.31,189.37,189.74,188.87,757.2900000000001,wayh
88673,64,64,16,8,8,16,16,8,2,4,0,0,0,1,202.92,202.77,202.2,202.56,810.45,eayi
88682,64,64,16,8,8,16,16,8,2,4,1,0,1,0,199.72,199.22,199.22,199.38,797.54,viai
88685,64,64,16,8,8,16,16,8,2,4,1,1,0,1,202.72,202.95,202.44,202.67,810.7799999999999,ryah
88687,64,64,16,8,8,16,16,8,2,4,1,1,1,1,152.46,153.92,151.68,154.15,612.21,rtva
88688,64,64,16,8,8,16,16,8,4,1,0,0,0,0,266.62,266.61,266.53,266.59,1066.35,reja
88693,64,64,16,8,8,16,16,8,4,1,0,1,0,1,199.64,199.03,198.93,199.44,797.04,hadg
88694,64,64,16,8,8,16,16,8,4,1,0,1,1,0,194.55,193.92,194.07,194.82,777.3599999999999,ksra
88695,64,64,16,8,8,16,16,8,4,1,0,1,1,1,158.0,157.54,157.61,156.74,629.89,ojia
88705,64,64,16,8,8,16,16,8,4,2,0,0,0,1,201.09,200.49,200.92,200.43,802.9300000000001,alzo
88708,64,64,16,8,8,16,16,8,4,2,0,1,0,0,293.55,293.01,293.46,293.56,1173.58,rayb
88715,64,64,16,8,8,16,16,8,4,2,1,0,1,1,160.28,160.49,159.25,160.69,640.71,arxq
88718,64,64,16,8,8,16,16,8,4,2,1,1,1,0,187.55,187.92,187.61,187.37,750.45,taup
88719,64,64,16,8,8,16,16,8,4,2,1,1,1,1,161.08,157.22,156.65,157.45,632.4000000000001,fasq
88725,64,64,16,8,8,16,16,8,4,4,0,1,0,1,207.33,206.92,206.36,207.11,827.72,hans
88736,64,64,16,8,8,16,32,2,1,1,0,0,0,0,253.2,251.62,251.52,251.66,1008.0,onva
88738,64,64,16,8,8,16,32,2,1,1,0,0,1,0,183.19,187.1,186.92,186.41,743.6199999999999,kgaq
88742,64,64,16,8,8,16,32,2,1,1,0,1,1,0,192.07,192.76,193.25,194.53,772.6099999999999,caei
88746,64,64,16,8,8,16,32,2,1,1,1,0,1,0,183.73,184.11,184.27,184.29,736.4,ancx
88748,64,64,16,8,8,16,32,2,1,1,1,1,0,0,277.69,275.96,275.78,276.43,1105.86,euna
88772,64,64,16,8,8,16,32,2,2,1,0,1,0,0,325.43,324.03,323.82,325.05,1298.33,itia
88799,64,64,16,8,8,16,32,2,2,2,1,1,1,1,162.54,164.16,165.68,163.65,656.03,sadn
88812,64,64,16,8,8,16,32,2,4,1,1,1,0,0,393.29,391.9,391.34,391.73,1568.26,buam
88813,64,64,16,8,8,16,32,2,4,1,1,1,0,1,289.8,291.3,290.58,291.69,1163.3700000000001,adma
88816,64,64,16,8,8,16,32,2,4,2,0,0,0,0,292.4,289.09,289.21,290.15,1160.85,ipao
88819,64,64,16,8,8,16,32,2,4,2,0,0,1,1,177.78,181.0,180.87,178.82,718.47,afjv
88821,64,64,16,8,8,16,32,2,4,2,0,1,0,1,319.28,319.11,318.7,318.92,1276.01,pdya
88826,64,64,16,8,8,16,32,2,4,2,1,0,1,0,307.04,307.43,307.7,307.52,1229.69,smla
88834,64,64,16,8,8,16,32,8,1,1,0,0,1,0,154.48,154.49,154.52,154.22,617.71,ohoa
88838,64,64,16,8,8,16,32,8,1,1,0,1,1,0,162.75,162.48,162.35,162.16,649.74,zkaq
88859,64,64,16,8,8,16,32,8,1,2,1,0,1,1,172.12,173.11,173.11,173.09,691.4300000000001,aexq
88873,64,64,16,8,8,16,32,8,2,1,1,0,0,1,189.08,189.08,188.82,188.91,755.89,uaim
88878,64,64,16,8,8,16,32,8,2,1,1,1,1,0,180.55,180.95,181.12,180.99,723.61,erba
88888,64,64,16,8,8,16,32,8,2,2,1,0,0,0,290.25,289.81,289.79,289.25,1159.1,ldae
88905,64,64,16,8,8,16,32,8,4,1,1,0,0,1,207.67,207.78,207.72,207.43,830.5999999999999,iauc
88907,64,64,16,8,8,16,32,8,4,1,1,0,1,1,160.96,159.63,161.22,159.7,641.51,teab
88911,64,64,16,8,8,16,32,8,4,1,1,1,1,1,157.63,157.18,157.74,157.63,630.1800000000001,kaou
88913,64,64,16,8,8,16,32,8,4,2,0,0,0,1,200.82,200.31,199.98,200.53,801.64,asvj
88920,64,64,16,8,8,16,32,8,4,2,1,0,0,0,287.14,287.19,287.18,287.16,1148.67,qayr
88921,64,64,16,8,8,16,32,8,4,2,1,0,0,1,198.4,198.51,198.59,198.25,793.75,anfo
88925,64,64,16,8,8,16,32,8,4,2,1,1,0,1,205.37,205.04,205.01,205.09,820.51,oair
88926,64,64,16,8,8,16,32,8,4,2,1,1,1,0,187.45,187.5,187.54,188.2,750.69,saoe
88928,64,64,16,8,8,32,8,2,1,1,0,0,0,0,253.46,251.69,251.4,251.31,1007.8599999999999,baqa
88930,64,64,16,8,8,32,8,2,1,1,0,0,1,0,183.7,187.92,186.97,187.42,746.01,ygna
88937,64,64,16,8,8,32,8,2,1,1,1,0,0,1,188.76,188.28,189.88,189.53,756.4499999999999,xaws
88939,64,64,16,8,8,32,8,2,1,1,1,0,1,1,198.09,198.35,198.58,198.09,793.11,ambl
88941,64,64,16,8,8,32,8,2,1,1,1,1,0,1,163.61,164.48,165.33,165.24,658.6600000000001,wzan
88952,64,64,16,8,8,32,8,2,1,2,1,0,0,0,260.75,259.86,260.11,259.73,1040.45,olad
88964,64,64,16,8,8,32,8,2,1,4,0,1,0,0,263.35,261.97,262.15,261.84,1049.31,vcam
88969,64,64,16,8,8,32,8,2,1,4,1,0,0,1,175.82,177.28,176.32,176.94,706.3600000000001,razr
88976,64,64,16,8,8,32,8,2,1,8,0,0,0,0,261.45,261.24,260.79,261.39,1044.87,qpma
88987,64,64,16,8,8,32,8,2,1,8,1,0,1,1,186.05,186.28,186.24,186.39,744.96,haqh
88988,64,64,16,8,8,32,8,2,1,8,1,1,0,0,276.7,276.22,275.95,276.22,1105.0900000000001,ecla
88993,64,64,16,8,8,32,8,2,2,1,0,0,0,1,227.97,224.68,225.6,225.03,903.28,lajn
89005,64,64,16,8,8,32,8,2,2,1,1,1,0,1,266.05,266.68,267.01,266.82,1066.56,adud
89008,64,64,16,8,8,32,8,2,2,2,0,0,0,0,302.26,301.08,300.48,301.2,1205.02,zaxy
89011,64,64,16,8,8,32,8,2,2,2,0,0,1,1,169.21,169.56,169.52,168.53,676.8199999999999,zeak
89017,64,64,16,8,8,32,8,2,2,2,1,0,0,1,243.06,245.15,244.89,244.78,977.88,pnac
89020,64,64,16,8,8,32,8,2,2,2,1,1,0,0,311.53,308.52,308.59,308.49,1237.1299999999999,haoi
89024,64,64,16,8,8,32,8,2,2,4,0,0,0,0,331.62,333.08,332.56,332.7,1329.96,allx
89026,64,64,16,8,8,32,8,2,2,4,0,0,1,0,261.9,261.86,262.13,261.72,1047.6100000000001,arbp
89033,64,64,16,8,8,32,8,2,2,4,1,0,0,1,268.95,267.58,267.69,268.54,1072.76,kafv
89037,64,64,16,8,8,32,8,2,2,4,1,1,0,1,268.97,267.97,268.31,268.64,1073.8899999999999,uagu
89046,64,64,16,8,8,32,8,2,2,8,0,1,1,0,225.35,226.0,225.11,225.7,902.1600000000001,arvf
89053,64,64,16,8,8,32,8,2,2,8,1,1,0,1,280.12,279.12,280.96,279.95,1120.15,earh
89056,64,64,16,8,8,32,8,8,1,1,0,0,0,0,249.8,249.85,250.58,249.43,999.6600000000001,patw
89067,64,64,16,8,8,32,8,8,1,1,1,0,1,1,201.66,201.0,203.08,201.33,807.07,azqf
89070,64,64,16,8,8,32,8,8,1,1,1,1,1,0,160.48,159.52,160.28,159.51,639.79,aiis
89071,64,64,16,8,8,32,8,8,1,1,1,1,1,1,157.6,157.11,157.61,157.35,629.6700000000001,ceay
89073,64,64,16,8,8,32,8,8,1,2,0,0,0,1,184.24,184.35,184.75,184.11,737.45,zdaa
89082,64,64,16,8,8,32,8,8,1,2,1,0,1,0,179.26,179.64,179.29,179.67,717.8599999999999,vrad
89083,64,64,16,8,8,32,8,8,1,2,1,0,1,1,172.48,172.3,172.25,172.34,689.37,vagy
89085,64,64,16,8,8,32,8,8,1,2,1,1,0,1,177.91,177.9,177.75,177.55,711.1099999999999,afuu
89093,64,64,16,8,8,32,8,8,1,4,0,1,0,1,192.81,193.94,192.33,191.61,770.69,nvab
89101,64,64,16,8,8,32,8,8,1,4,1,1,0,1,193.26,192.76,193.29,194.37,773.68,arvc
89103,64,64,16,8,8,32,8,8,1,4,1,1,1,1,190.59,189.47,190.45,191.58,762.09,acun
89109,64,64,16,8,8,32,8,8,1,8,0,1,0,1,167.67,166.8,167.78,166.76,669.01,cavw
89112,64,64,16,8,8,32,8,8,1,8,1,0,0,0,242.99,242.81,243.16,242.77,971.73,niga
89117,64,64,16,8,8,32,8,8,1,8,1,1,0,1,172.49,172.09,172.22,171.28,688.08,oxaj
89118,64,64,16,8,8,32,8,8,1,8,1,1,1,0,137.13,136.63,137.41,136.91,548.0799999999999,yfat
89120,64,64,16,8,8,32,8,8,2,1,0,0,0,0,271.11,270.84,271.11,270.64,1083.7,atpc
89128,64,64,16,8,8,32,8,8,2,1,1,0,0,0,275.19,275.41,275.16,275.22,1100.98,maqt
89157,64,64,16,8,8,32,8,8,2,4,0,1,0,1,202.96,202.51,202.87,202.56,810.9000000000001,aylt
89177,64,64,16,8,8,32,8,8,2,8,1,0,0,1,199.47,199.69,199.77,200.2,799.1299999999999,aspm
89181,64,64,16,8,8,32,8,8,2,8,1,1,0,1,199.77,199.96,199.91,199.67,799.31,wagc
89183,64,64,16,8,8,32,8,8,2,8,1,1,1,1,114.22,113.82,114.36,113.66,456.05999999999995,scla
89199,64,64,16,8,8,32,16,2,1,1,1,1,1,1,169.92,170.19,169.9,168.73,678.74,oauu
89207,64,64,16,8,8,32,16,2,1,2,0,1,1,1,160.23,161.03,160.28,160.25,641.79,nnha
89208,64,64,16,8,8,32,16,2,1,2,1,0,0,0,260.93,260.59,259.51,260.56,1041.59,awcn
89211,64,64,16,8,8,32,16,2,1,2,1,0,1,1,147.61,147.19,147.46,147.21,589.47,apdm
89213,64,64,16,8,8,32,16,2,1,2,1,1,0,1,211.33,210.43,213.23,211.15,846.14,awxt
89218,64,64,16,8,8,32,16,2,1,4,0,0,1,0,199.15,197.89,198.31,197.66,793.0099999999999,ozba
89221,64,64,16,8,8,32,16,2,1,4,0,1,0,1,221.14,231.23,229.3,232.18,913.8500000000001,aarb
89223,64,64,16,8,8,32,16,2,1,4,0,1,1,1,196.2,197.65,195.77,196.2,785.8199999999999,zeam
89241,64,64,16,8,8,32,16,2,2,1,1,0,0,1,229.05,227.47,227.52,226.77,910.81,vabp
89246,64,64,16,8,8,32,16,2,2,1,1,1,1,0,303.85,300.96,301.22,302.1,1208.13,xiap
89253,64,64,16,8,8,32,16,2,2,2,0,1,0,1,275.77,276.88,277.55,277.2,1107.4,ntma
89254,64,64,16,8,8,32,16,2,2,2,0,1,1,0,302.72,301.58,301.47,301.67,1207.44,eyca
89256,64,64,16,8,8,32,16,2,2,2,1,0,0,0,303.87,300.26,300.58,301.09,1205.8,zail
89287,64,64,16,8,8,32,16,8,1,1,0,1,1,1,158.35,158.2,158.46,158.53,633.54,nxac
89299,64,64,16,8,8,32,16,8,1,2,0,0,1,1,150.42,151.66,151.07,150.2,603.3499999999999,aiok
89303,64,64,16,8,8,32,16,8,1,2,0,1,1,1,167.39,166.56,167.59,166.5,668.04,higa
89310,64,64,16,8,8,32,16,8,1,2,1,1,1,0,191.03,190.44,191.84,191.62,764.9300000000001,xaxo
89332,64,64,16,8,8,32,16,8,2,1,0,1,0,0,280.51,280.85,280.84,280.94,1123.14,ijia
89333,64,64,16,8,8,32,16,8,2,1,0,1,0,1,199.88,200.24,199.84,199.82,799.78,xkxa
89345,64,64,16,8,8,32,16,8,2,2,0,0,0,1,205.93,205.27,205.46,205.12,821.7800000000001,nqla
89352,64,64,16,8,8,32,16,8,2,2,1,0,0,0,289.83,289.74,289.35,289.79,1158.71,avqc
89355,64,64,16,8,8,32,16,8,2,2,1,0,1,1,182.76,182.52,182.75,182.75,730.78,ozan
89356,64,64,16,8,8,32,16,8,2,2,1,1,0,0,292.19,292.14,291.88,292.06,1168.27,adjn
89367,64,64,16,8,8,32,16,8,2,4,0,1,1,1,150.16,149.16,149.45,148.27,597.04,fatk
89370,64,64,16,8,8,32,16,8,2,4,1,0,1,0,198.78,197.96,197.68,197.95,792.3700000000001,fxaa
89372,64,64,16,8,8,32,16,8,2,4,1,1,0,0,302.53,302.75,302.52,302.42,1210.22,easr
89373,64,64,16,8,8,32,16,8,2,4,1,1,0,1,203.16,202.88,202.91,203.05,812.0,acat
89374,64,64,16,8,8,32,16,8,2,4,1,1,1,0,204.86,204.11,204.36,203.74,817.07,brja
89375,64,64,16,8,8,32,16,8,2,4,1,1,1,1,151.71,151.81,153.45,151.1,608.0699999999999,catv
89406,64,64,16,8,8,32,32,2,1,2,1,1,1,0,254.45,258.76,258.55,256.03,1027.79,qzar
89410,64,64,16,8,8,32,32,2,2,1,0,0,1,0,283.58,282.19,283.34,282.55,1131.6599999999999,agcx
89421,64,64,16,8,8,32,32,2,2,1,1,1,0,1,259.9,260.12,260.23,259.74,1039.99,aqeo
89422,64,64,16,8,8,32,32,2,2,1,1,1,1,0,302.51,301.26,301.32,299.98,1205.07,cuba
89427,64,64,16,8,8,32,32,2,2,2,0,0,1,1,162.92,162.75,162.74,162.88,651.29,akkr
89443,64,64,16,8,8,32,32,8,1,1,0,0,1,1,184.2,183.98,184.1,183.79,736.0699999999999,xapc
89445,64,64,16,8,8,32,32,8,1,1,0,1,0,1,164.34,164.2,164.25,164.44,657.23,xfad
89451,64,64,16,8,8,32,32,8,1,1,1,0,1,1,193.71,194.23,193.61,194.41,775.9599999999999,ajzb
89454,64,64,16,8,8,32,32,8,1,1,1,1,1,0,160.25,160.23,159.46,159.51,639.45,cika
89456,64,64,16,8,8,32,32,8,1,2,0,0,0,0,260.25,259.9,260.05,260.1,1040.3000000000002,fadj
89457,64,64,16,8,8,32,32,8,1,2,0,0,0,1,182.87,183.94,183.52,183.71,734.0400000000001,tjfa
89459,64,64,16,8,8,32,32,8,1,2,0,0,1,1,149.71,149.72,149.68,149.66,598.77,makb
89463,64,64,16,8,8,32,32,8,1,2,0,1,1,1,168.33,167.07,168.14,168.17,671.7099999999999,acid
89477,64,64,16,8,8,32,32,8,2,1,0,1,0,1,197.18,197.26,197.66,197.3,789.4000000000001,aoqo
89483,64,64,16,8,8,32,32,8,2,1,1,0,1,1,177.79,176.21,175.24,176.41,705.65,qupa
89485,64,64,16,8,8,32,32,8,2,1,1,1,0,1,198.2,197.38,198.35,198.14,792.0699999999999,anjo
89486,64,64,16,8,8,32,32,8,2,1,1,1,1,0,180.93,180.77,181.21,180.81,723.72,akug
89492,64,64,16,8,8,32,32,8,2,2,0,1,0,0,291.96,291.7,291.27,291.67,1166.6,ovam
89497,64,64,16,8,8,32,32,8,2,2,1,0,0,1,206.08,205.83,205.94,206.2,824.05,avot
89498,64,64,16,8,8,32,32,8,2,2,1,0,1,0,188.43,188.98,189.38,188.79,755.5799999999999,ixan
89502,64,64,16,8,8,32,32,8,2,2,1,1,1,0,201.63,202.2,201.94,201.89,807.66,zasm
91825,64,64,16,8,32,16,16,2,1,2,0,0,0,1,134.22,133.23,134.3,134.28,536.03,ajdt
91828,64,64,16,8,32,16,16,2,1,2,0,1,0,0,128.15,128.29,128.14,128.17,512.75,iavr
91905,64,64,16,8,32,16,16,8,1,1,0,0,0,1,138.21,138.25,147.93,138.24,562.6300000000001,aoxm
91909,64,64,16,8,32,16,16,8,1,1,0,1,0,1,132.09,132.73,131.83,131.85,528.5,agge
92017,64,64,16,8,32,16,32,2,1,2,0,0,0,1,131.41,131.57,132.41,131.28,526.67,ouia
92021,64,64,16,8,32,16,32,2,1,2,0,1,0,1,131.43,132.23,132.18,131.28,527.12,aprj
92097,64,64,16,8,32,16,32,8,1,1,0,0,0,1,133.53,134.27,133.47,133.56,534.8299999999999,arru
92192,64,64,16,8,32,32,16,2,1,1,0,0,0,0,140.15,140.09,140.15,140.16,560.55,bzpa
92197,64,64,16,8,32,32,16,2,1,1,0,1,0,1,131.92,132.86,131.82,131.87,528.47,yasd
92212,64,64,16,8,32,32,16,2,1,2,0,1,0,0,128.1,128.23,128.16,128.17,512.66,uooa
92277,64,64,16,8,32,32,16,8,1,2,0,1,0,1,132.23,132.25,131.34,131.41,527.23,upna
92388,64,64,16,8,32,32,32,8,1,1,0,1,0,0,130.04,129.9,129.94,130.05,519.9300000000001,wacf
95569,64,64,16,16,32,32,32,2,1,2,0,0,0,1,139.0,138.7,138.37,138.48,554.55,famo
96449,64,64,32,8,8,8,8,2,1,1,0,0,0,1,176.81,176.46,176.31,176.61,706.1899999999999,qswa
96453,64,64,32,8,8,8,8,2,1,1,0,1,0,1,172.23,172.0,172.46,171.93,688.6200000000001,bnaf
96458,64,64,32,8,8,8,8,2,1,1,1,0,1,0,176.04,177.56,176.82,177.37,707.7900000000001,uadj
96463,64,64,32,8,8,8,8,2,1,1,1,1,1,1,178.24,178.33,177.89,178.03,712.49,mtua
96464,64,64,32,8,8,8,8,2,1,2,0,0,0,0,247.19,244.88,244.9,243.93,980.9000000000001,yabs
96475,64,64,32,8,8,8,8,2,1,2,1,0,1,1,234.95,234.88,234.98,235.22,940.03,gyqa
96476,64,64,32,8,8,8,8,2,1,2,1,1,0,0,267.34,264.93,265.63,265.48,1063.38,deja
96478,64,64,32,8,8,8,8,2,1,2,1,1,1,0,221.35,222.27,222.13,223.1,888.85,mgag
96479,64,64,32,8,8,8,8,2,1,2,1,1,1,1,251.01,246.32,244.27,246.33,987.9300000000001,miga
96483,64,64,32,8,8,8,8,2,1,4,0,0,1,1,245.29,241.43,237.42,241.55,965.69,ehag
96486,64,64,32,8,8,8,8,2,1,4,0,1,1,0,147.75,147.64,147.58,147.98,590.95,aqpn
96500,64,64,32,8,8,8,8,2,1,8,0,1,0,0,261.69,262.01,261.13,261.02,1045.85,ahff
96502,64,64,32,8,8,8,8,2,1,8,0,1,1,0,145.5,145.06,144.89,144.77,580.22,vaai
96503,64,64,32,8,8,8,8,2,1,8,0,1,1,1,256.1,256.34,256.7,256.83,1025.97,abdv
96510,64,64,32,8,8,8,8,2,1,8,1,1,1,0,181.01,181.63,180.94,181.34,724.92,axtj
96518,64,64,32,8,8,8,8,2,2,1,0,1,1,0,242.99,241.47,244.27,242.78,971.51,ufao
96519,64,64,32,8,8,8,8,2,2,1,0,1,1,1,215.15,216.02,214.82,215.46,861.45,awom
96521,64,64,32,8,8,8,8,2,2,1,1,0,0,1,177.64,176.55,176.16,176.06,706.4100000000001,bpae
96522,64,64,32,8,8,8,8,2,2,1,1,0,1,0,243.16,242.36,241.89,243.14,970.55,jnoa
96523,64,64,32,8,8,8,8,2,2,1,1,0,1,1,332.73,336.52,341.47,333.17,1343.89,cira
96540,64,64,32,8,8,8,8,2,2,2,1,1,0,0,311.4,308.64,308.46,308.52,1237.02,lakh
96541,64,64,32,8,8,8,8,2,2,2,1,1,0,1,234.82,233.39,233.67,234.3,936.1800000000001,avmu
96542,64,64,32,8,8,8,8,2,2,2,1,1,1,0,249.37,249.01,247.91,249.84,996.13,aump
96546,64,64,32,8,8,8,8,2,2,4,0,0,1,0,200.41,198.78,199.43,198.82,797.44,eita
96549,64,64,32,8,8,8,8,2,2,4,0,1,0,1,226.01,223.44,223.14,222.11,894.6999999999999,tawv
96559,64,64,32,8,8,8,8,2,2,4,1,1,1,1,235.2,236.72,236.73,238.13,946.78,pgia
96564,64,64,32,8,8,8,8,2,2,8,0,1,0,0,284.13,281.7,282.04,282.09,1129.9599999999998,arwn
96570,64,64,32,8,8,8,8,2,2,8,1,0,1,0,184.04,184.55,184.88,184.61,738.08,cora
96573,64,64,32,8,8,8,8,2,2,8,1,1,0,1,217.55,217.64,217.37,218.55,871.1099999999999,oiza
96575,64,64,32,8,8,8,8,2,2,8,1,1,1,1,151.18,150.46,151.97,150.9,604.51,azzg
96577,64,64,32,8,8,8,8,2,4,1,0,0,0,1,188.75,188.19,188.23,188.23,753.4,cska
96581,64,64,32,8,8,8,8,2,4,1,0,1,0,1,241.4,242.43,241.94,242.8,968.5699999999999,aazt
96583,64,64,32,8,8,8,8,2,4,1,0,1,1,1,232.34,232.1,223.88,230.02,918.3399999999999,gtya
96586,64,64,32,8,8,8,8,2,4,1,1,0,1,0,254.21,255.22,254.95,254.46,1018.84,yuan
96587,64,64,32,8,8,8,8,2,4,1,1,0,1,1,201.68,202.12,202.87,201.17,807.84,zkia
96588,64,64,32,8,8,8,8,2,4,1,1,1,0,0,392.86,392.26,391.65,391.44,1568.21,nooa
96599,64,64,32,8,8,8,8,2,4,2,0,1,1,1,248.54,249.55,247.72,249.35,995.1600000000001,awxx
96605,64,64,32,8,8,8,8,2,4,2,1,1,0,1,267.29,265.55,265.23,265.05,1063.1200000000001,kvda
96637,64,64,32,8,8,8,8,2,4,8,1,1,0,1,195.34,196.23,196.32,195.34,783.23,xagd
96638,64,64,32,8,8,8,8,2,4,8,1,1,1,0,215.78,216.38,216.69,216.81,865.6599999999999,aoec
96639,64,64,32,8,8,8,8,2,4,8,1,1,1,1,220.22,220.99,221.41,220.47,883.09,awzz
96647,64,64,32,8,8,8,8,2,8,1,0,1,1,1,241.22,241.58,241.5,241.77,966.0699999999999,aobv
96654,64,64,32,8,8,8,8,2,8,1,1,1,1,0,239.22,237.06,236.54,236.81,949.6299999999999,yeia
96655,64,64,32,8,8,8,8,2,8,1,1,1,1,1,240.82,240.26,240.45,241.14,962.67,dbza
96658,64,64,32,8,8,8,8,2,8,2,0,0,1,0,295.05,294.01,293.34,294.1,1176.5,pazt
96661,64,64,32,8,8,8,8,2,8,2,0,1,0,1,223.57,226.76,227.1,226.69,904.1199999999999,aceo
96667,64,64,32,8,8,8,8,2,8,2,1,0,1,1,260.29,258.41,259.46,259.72,1037.88,aiir
96669,64,64,32,8,8,8,8,2,8,2,1,1,0,1,222.31,224.77,224.49,224.73,896.3000000000001,zopa
96678,64,64,32,8,8,8,8,2,8,4,0,1,1,0,234.1,238.16,238.81,237.82,948.8899999999999,ahhi
96684,64,64,32,8,8,8,8,2,8,4,1,1,0,0,383.49,383.33,383.08,383.03,1532.9299999999998,yuas
96688,64,64,32,8,8,8,8,2,8,8,0,0,0,0,258.88,259.23,259.66,259.27,1037.04,dmac
96706,64,64,32,8,8,8,8,8,1,1,0,0,1,0,188.88,189.62,189.86,189.93,758.29,alnu
96711,64,64,32,8,8,8,8,8,1,1,0,1,1,1,177.92,177.38,177.51,177.42,710.2299999999999,aoil
96715,64,64,32,8,8,8,8,8,1,1,1,0,1,1,239.87,237.93,235.6,232.23,945.63,kaal
96724,64,64,32,8,8,8,8,8,1,2,0,1,0,0,267.86,268.23,267.93,267.69,1071.71,nsau
96734,64,64,32,8,8,8,8,8,1,2,1,1,1,0,217.13,216.69,216.87,215.8,866.49,yiia
96750,64,64,32,8,8,8,8,8,1,4,1,1,1,0,234.42,235.86,234.52,234.44,939.24,amtt
96753,64,64,32,8,8,8,8,8,1,8,0,0,0,1,204.42,202.48,204.27,202.4,813.5699999999999,ayit
96769,64,64,32,8,8,8,8,8,2,1,0,0,0,1,182.17,181.83,182.61,182.0,728.61,nasn
96779,64,64,32,8,8,8,8,8,2,1,1,0,1,1,257.44,255.6,256.79,256.95,1026.78,qraw
96780,64,64,32,8,8,8,8,8,2,1,1,1,0,0,284.98,284.51,284.41,284.02,1137.92,baub
96786,64,64,32,8,8,8,8,8,2,2,0,0,1,0,200.87,200.83,201.08,200.64,803.4200000000001,lack
